"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Honolulu County, HI"	"15003"	"2009"	"2009"	54	8478	6.4	4.8	8.3
	"Honolulu County, HI"	"15003"	"2010"	"2010"	66	8148	8.1	6.3	10.3
	"Honolulu County, HI"	"15003"	"2011"	"2011"	54	8651	6.2	4.7	8.1
	"Honolulu County, HI"	"15003"	"2012"	"2012"	51	8508	6.0	4.5	7.9
	"Honolulu County, HI"	"15003"	"2013"	"2013"	59	8708	6.8	5.2	8.7
	"Honolulu County, HI"	"15003"	"2014"	"2014"	48	8394	5.7	4.2	7.6
	"Honolulu County, HI"	"15003"	"2015"	"2015"	46	8591	5.4	3.9	7.1
"Total"	"Honolulu County, HI"	"15003"			1019	142409	7.2	6.7	7.6
"Total"	"Kauai County, HI"	"15007"			46	8663	5.3	3.9	7.1
	"Maui County, HI"	"15009"	"2000"	"2000"	12	1056	11.4 (Unreliable)	5.9	19.8
	"Maui County, HI"	"15009"	"2002"	"2002"	11	1148	9.6 (Unreliable)	4.8	17.1
	"Maui County, HI"	"15009"	"2015"	"2015"	12	1181	10.2 (Unreliable)	5.3	17.7
"Total"	"Maui County, HI"	"15009"			113	20516	5.5	4.5	6.5
"Total"	"Ada County, ID"	"16001"			18	2856	6.3 (Unreliable)	3.7	10.0
	"Cook County, IL"	"17031"	"1999"	"1999"	25	3981	6.3	4.1	9.3
	"Cook County, IL"	"17031"	"2000"	"2000"	19	3998	4.8 (Unreliable)	2.9	7.4
	"Cook County, IL"	"17031"	"2001"	"2001"	19	4575	4.2 (Unreliable)	2.5	6.5
	"Cook County, IL"	"17031"	"2002"	"2002"	24	4315	5.6	3.6	8.3
	"Cook County, IL"	"17031"	"2003"	"2003"	13	4602	2.8 (Unreliable)	1.5	4.8
	"Cook County, IL"	"17031"	"2004"	"2004"	10	4524	2.2 (Unreliable)	1.1	4.1
	"Cook County, IL"	"17031"	"2005"	"2005"	16	4590	3.5 (Unreliable)	2.0	5.7
	"Cook County, IL"	"17031"	"2006"	"2006"	19	4461	4.3 (Unreliable)	2.6	6.7
	"Cook County, IL"	"17031"	"2007"	"2007"	20	4617	4.3	2.6	6.7
	"Cook County, IL"	"17031"	"2008"	"2008"	17	4831	3.5 (Unreliable)	2.0	5.6
	"Cook County, IL"	"17031"	"2009"	"2009"	11	4916	2.2 (Unreliable)	1.1	4.0
	"Cook County, IL"	"17031"	"2010"	"2010"	20	4849	4.1	2.5	6.4
	"Cook County, IL"	"17031"	"2011"	"2011"	23	4861	4.7	3.0	7.1
	"Cook County, IL"	"17031"	"2012"	"2012"	25	4921	5.1	3.3	7.5
	"Cook County, IL"	"17031"	"2013"	"2013"	20	5251	3.8	2.3	5.9
	"Cook County, IL"	"17031"	"2014"	"2014"	25	4960	5.0	3.3	7.4
